Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
140419468,3892.0,171243.0,Maipú,Vendecasapjecerradoparquelofranco,3,2,80,125,1,14519841,
115452800,3200.0,140796.0,Maipú,Vendecasacercademallaraucomaipu,4,2,126,96,1,14519837,
98026643,2717.0,119545.0,Maipú,Vendecasapsjekivic/robertollona,3,2,90,84,,14519833,
107226788,2972.0,130764.0,Maipú,Vendecasaenpsjekiviconing.Robertollona,4,2,104,98,1,14519831,
281416200,7800.0,343190.0,Maipú,Vendecasacond.Laspalmas,3,3,213,159,,14519829,
90233579,2501.0,110041.0,Maipú,Vendecasacercademallaraucomaipú,3,2,70,100,1,14519825,
105025969,2911.0,128080.0,Maipú,Vendecasa,3,2,105,84,1,14519821,
328318900,9100.0,400389.0,Maipú,Vendecasaaislada,4,3,140,250,1,14519817,
286828050,7950.0,349790.0,Pudahuel,Vendecasaencondominio,3,3,129,454,,14519813,
210051938,5822.0,256161.0,Quilicura,Vendecasaaranjuezoriente,3,3,99,194,1,14519811,
541185000,15000.0,659982.0,SanMiguel,Metrolovial4d3b,4,3,233,772,,14519600,
180395000,5000.0,219994.0,Lampa,Larapinta3d2b,3,2,105,233,,14519582,
184002900,5100.0,224394.0,Maipú,Casaenparqueciudadsatelite4d3b,4,3,84,163,,14519580,
205650300,5700.0,250793.0,Lampa,Casaencondominiolarapinta3d3b,3,3,105,258,2,14519578,
230000000,6375.0,280488.0,Peñalolén,Casaenparquetobalaba4d2b,4,2,100,200,,14519570,
1348993810,37390.0,1645114.0,LoBarnechea,Pedroliraurquieta,7,7,463,1170,4,14519333,
180000000,4989.0,219512.0,Buin,Sanmartínconmaipú,5,2,160,370,,14519201,
150000000,4158.0,182927.0,Peñaflor,Callemanuelcastillo,5,3,160,1300,,14519181,
432948000,12000.0,527985.0,Providencia,Vellavista,3,2,264,264,,14519031,
775698500,21500.0,945974.0,Santiago,Centrohistorico,20,5,250,500,,14519006,
314248090,8710.0,383229.0,Ñuñoa,Pedrodevaldivia,4,3,125,218,1,14519000,
703540500,19500.0,857976.0,LasCondes,Caminolasflores-sancarlosdeapoquindo,6,4,241,400,,14518940,
75000000,2079.0,91463.0,Melipilla,Ventacasaenpomaire,3,1,86,121,,14518938,
115000000,3187.0,140244.0,Maipú,Centralgonzaloperezllona,2,1,60,200,,14518580,
270592500,7500.0,329991.0,Buin,Villaseca/caleteraruta5,3,2,140,460,,14518574,
811777500,22500.0,989973.0,Buin,Clubdegolflasaraucarias,4,6,365,5000,,14518572,
585201380,16220.0,713660.0,LaReina,Entremonseñoredwardsycontryclublareina,3,3,296,296,1,14518364,
190100251,5269.0,231830.0,EstaciónCentral,Lasrejas,4,2,140,140,1,14518362,
526753400,14600.0,642382.0,Colina,Padresergiocorrea,3,3,150,540,,14518195,
487066500,13500.0,593984.0,Colina,Colegiosananselmo,3,3,140,365,,14518177,
145000000,4019.0,176829.0,Maipú,Marinachica/primeratransversal,3,2,73,209,1,14518159,
113000000,3132.0,137805.0,Maipú,Fuertearteaga/rinconada,3,2,90,113,,14518155,
193022650,5350.0,235393.0,Maipú,Elrosal/condloslaureles,3,3,115,125,,14518145,
256160900,7100.0,312391.0,LaFlorida,Altomacul,4,3,114,235,,14517999,Activa Corredores
299000000,8287.0,364634.0,LaFlorida,Geronimodealderete,4,3,156,400,,14517997,Activa Corredores
645814100,17900.0,787578.0,Colina,Condominiolareserva,3,3,330,400,,14517959,
449183550,12450.0,547785.0,Colina,Piedraroja,3,3,180,500,,14517897,
317495200,8800.0,387189.0,Colina,Avenidaelvalle,4,2,140,300,,14517883,
537577100,14900.0,655582.0,Colina,Condominiopiedraroja,4,5,220,432,,14517865,
523145500,14500.0,637982.0,Colina,Condominiopiedraroja,3,3,164,415,1,14517863,
487066500,13500.0,593984.0,Colina,Chamisero,4,3,160,518,,14517861,
324711000,9000.0,395989.0,Colina,Sierramaestra,4,4,120,258,2,14517857,
645814100,17900.0,787578.0,Colina,Lascampiñas,3,3,220,4180,4,14517851,
331926800,9200.0,404789.0,Colina,Sierramaestra,4,3,120,277,2,14517839,
331926800,9200.0,404789.0,Colina,Lasierradechicureo,4,4,120,251,,14517829,
374860810,10390.0,457147.0,Colina,Sierramaestra,3,3,125,385,,14517827,
790130100,21900.0,963573.0,Colina,Piedraroja,5,4,250,750,,14517823,
707148400,19600.0,862376.0,Colina,Piedraroja,5,4,250,750,,14517819,
342750500,9500.0,417988.0,Colina,Sierramaestra,3,3,112,367,,14517817,
602519300,16700.0,734780.0,Colina,Piedraroja,5,4,180,580,,14517813,
476242800,13200.0,580784.0,Colina,Chamisero,3,3,200,700,,14517809,
468666210,12990.0,571544.0,Colina,Chamisero,4,3,180,471,,14517805,
160000000,4435.0,195122.0,LaFlorida,Doscasas5d,5,3,110,242,1,14517729,
140708100,3900.0,171595.0,EstaciónCentral,Casaenventa4d,3,1,58,170,1,14517719,
190000000,5266.0,231707.0,Maipú,Casaenmicrobarrio3d,3,1,110,182,,14517717,
100000000,2772.0,121951.0,LoPrado,Casa5d,5,1,73,162,,14517701,
103799283,2877.0,126584.0,EstaciónCentral,Casa4d,4,1,67,90,1,14517699,
80000000,2217.0,97561.0,Renca,Casa2d,2,1,60,105,1,14517695,
210000000,5821.0,256098.0,Maipú,Casa3pisosencondominiocercanoamallmaipu,4,4,121,200,,14517693,
85000000,2356.0,103659.0,Maipú,Casa3d,3,2,90,100,,14517691,
300000000,8315.0,365854.0,Pudahuel,Casaencondominio4d,4,3,170,610,1,14517685,
180000000,4989.0,219512.0,Maipú,Casaencondominio3d,3,3,82,118,,14517677,
335534700,9300.0,409189.0,Pudahuel,Casa3d,3,3,120,600,,14517675,
185000000,5128.0,225610.0,Maipú,Casagrande4d,4,3,139,206,,14517665,
145181896,4024.0,177051.0,PuenteAlto,Casaesquina4d,4,1,79,170,,14517661,
285024100,7900.0,347590.0,Pudahuel,Casaciudaddelosvalles3d,3,3,125,288,,14517659,
250000000,6929.0,304878.0,IsladeMaipo,Caminocarampangueislademaipo,3,2,150,5000,,14517470,
53000000,1469.0,64634.0,SanBernardo,Casaensanbernardo,2,1,48,77,,14517388,
135000000,3742.0,164634.0,LaFlorida,Casalaflorida,3,2,72,147,,14517370,
190000000,5266.0,231707.0,Pudahuel,Hermosacasapapasananacleto,3,2,90,284,,14517356,
180395000,5000.0,219994.0,Pudahuel,Casaenexclusivobarriocumbresblancas,3,3,95,112,,14517330,
165000000,4573.0,201220.0,Maipú,2casasenvillaloshéroes(pagoalcontado),5,3,164,212,,14517324,
180000000,4989.0,219512.0,PuenteAlto,Casa200m2terreno,3,3,75,206,,14517318,
700000000,19402.0,853659.0,Ñuñoa,Casacomercialenmetroorientales,,5,458,458,,14517304,
151531800,4200.0,184795.0,Buin,Casaencondominiobuin,3,3,71,178,,14517288,
174622360,4840.0,212954.0,PuenteAlto,Casaencondominiociudaddelsolbarrioholanda,4,3,90,190,1,14517266,
207454250,5750.0,252993.0,Huechuraba,Casa2pisos,3,3,135,135,,14517250,
183000000,5072.0,223171.0,LaCisterna,Casacon2departamentosinteriores8dormitorios,8,4,100,265,,14517228,
162355500,4500.0,197995.0,Santiago,Luminosoyacogedordepartamentoconampliopatio,3,2,77,110,,14517114,
97500000,2702.0,118902.0,Maipú,Casadeunpisoenciudadsatélite,3,1,60,125,,14517112,
